n,num_tries,optimal_load,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60
60,2566,42,1,1,4,4,5,7,8,8,8,9,12,15,15,17,17,19,19,19,21,26,26,26,26,27,28,33,35,36,36,39,40,42,43,47,47,50,56,57,58,60,61,62,63,64,66,68,69,73,73,73,76,78,80,83,86,86,86,87,91,94
60,3077,51,1,3,3,4,4,9,10,11,15,17,17,18,20,24,24,26,30,31,31,34,35,38,38,39,40,41,41,42,44,45,46,51,53,60,61,62,65,67,68,68,71,71,72,75,77,79,81,82,83,83,88,89,89,90,95,95,98,99,101,123
60,2068,34,1,2,2,2,3,5,5,6,8,9,11,11,12,13,16,16,18,18,19,21,22,22,23,24,25,26,29,31,31,32,35,35,36,40,40,40,42,43,43,45,49,50,50,51,51,54,54,54,57,58,59,61,62,65,65,67,72,73,76,78
60,1524,25,1,1,1,2,2,4,4,4,5,5,6,7,7,9,9,11,13,14,14,16,16,17,17,17,20,21,23,24,24,24,26,26,28,28,29,29,30,30,31,33,34,34,36,37,38,39,40,41,43,43,45,46,47,47,49,49,51,53,56,68
60,1575,26,1,1,1,2,3,4,4,6,7,9,9,10,10,10,11,12,12,14,15,16,17,18,18,19,20,21,22,24,25,25,26,26,27,27,30,31,31,31,32,33,34,34,35,36,37,38,39,41,43,44,46,47,49,49,51,52,58,58,62,62
60,1957,32,1,1,2,4,4,5,7,8,8,9,9,9,10,11,11,13,14,17,18,20,20,22,23,24,26,26,27,27,28,31,32,32,33,34,35,37,40,40,41,43,44,45,48,49,49,50,51,51,51,55,59,62,62,64,65,66,68,70,71,75
60,1525,25,1,1,1,3,3,5,5,5,5,7,7,7,8,9,9,10,11,13,14,15,16,16,18,18,18,18,21,21,24,24,25,28,28,29,29,30,31,32,33,35,36,36,36,37,38,39,39,41,42,43,43,44,45,47,49,49,53,57,57,61
60,1218,20,1,1,1,2,3,3,4,4,4,4,4,5,6,6,7,9,9,10,11,11,12,12,12,13,14,15,16,16,17,18,20,20,21,21,22,23,23,25,26,27,27,28,28,29,30,31,32,35,36,37,37,37,38,38,40,44,45,47,49,52
60,3028,50,1,2,3,5,7,8,9,10,13,17,19,20,20,22,25,26,27,27,28,30,31,33,34,35,44,45,46,47,48,51,51,52,53,54,57,61,62,63,65,66,69,71,72,72,74,76,80,83,83,87,87,87,88,92,93,93,98,98,101,107
60,2200,36,1,1,2,3,4,5,5,6,8,8,11,12,13,16,16,18,19,20,21,21,24,25,26,27,27,28,29,31,32,33,35,36,37,39,42,42,42,43,48,50,52,53,53,56,56,56,56,57,59,59,62,64,65,67,69,76,81,82,84,87
60,4173,69,1,1,2,4,7,9,13,14,24,25,28,28,29,30,31,34,34,42,42,43,45,46,46,51,51,54,55,55,69,71,72,73,74,78,81,82,82,90,90,92,94,97,103,104,105,105,108,108,114,116,117,121,126,128,129,131,135,141,141,152
60,1999,33,1,1,2,3,5,5,5,8,9,10,10,10,12,13,14,15,16,18,20,21,22,22,22,23,23,25,27,27,27,27,28,29,34,37,38,39,41,41,41,42,43,43,44,48,50,50,52,56,57,58,60,63,64,64,65,65,74,75,77,78
60,1716,28,1,1,1,1,1,3,4,4,4,5,9,9,11,11,13,14,17,18,18,18,19,19,19,20,22,23,23,25,25,27,28,29,30,31,32,33,33,34,34,37,38,38,42,45,45,46,47,48,49,51,51,51,52,53,54,56,58,59,63,64
60,4012,66,1,2,4,5,6,12,13,15,17,20,21,25,26,26,29,29,35,35,40,41,45,45,47,49,50,51,58,62,64,67,69,70,75,76,76,76,81,82,84,86,89,93,96,97,97,98,100,103,112,113,114,116,117,122,133,136,137,137,137,150
60,1584,26,1,1,1,1,2,2,2,4,5,9,10,10,10,10,11,11,11,13,13,16,17,18,18,19,19,21,21,22,25,25,25,26,26,28,30,30,31,33,33,35,36,37,37,39,39,41,41,41,43,45,45,49,50,52,53,54,54,59,62,62
60,2389,39,1,3,3,4,5,8,8,10,10,10,11,14,15,16,16,19,22,22,23,23,25,25,27,28,28,33,35,38,38,38,41,41,41,43,43,45,46,46,47,48,49,51,52,55,61,61,62,62,63,68,74,75,76,78,78,80,82,86,87,90
60,1240,20,1,1,1,2,2,2,3,4,5,6,6,7,7,7,9,10,10,11,11,11,13,13,14,15,15,16,16,17,18,18,20,22,23,25,26,27,27,28,28,29,29,30,30,30,31,31,32,32,33,34,34,38,38,40,40,41,41,41,44,45
60,2249,37,1,3,3,3,4,5,5,6,8,10,11,11,13,14,14,15,18,19,20,21,24,24,30,31,31,32,34,36,36,37,40,42,43,43,43,45,45,46,47,47,47,49,54,55,57,58,59,60,60,61,62,64,68,71,73,74,75,76,82,84
60,2518,41,1,2,3,4,7,7,7,8,10,13,14,15,16,17,20,21,22,25,25,28,29,29,32,32,33,35,36,38,39,40,40,40,41,43,43,51,51,51,52,55,58,60,61,62,64,66,68,68,69,73,73,74,74,78,79,80,82,83,83,88
60,1386,23,1,1,2,2,3,3,3,4,6,8,8,9,10,10,11,11,11,12,12,13,14,17,17,17,18,19,19,19,20,20,20,21,22,22,23,24,25,25,26,26,30,30,31,31,35,35,36,39,39,40,41,42,46,47,48,48,48,52,57,57
60,1510,25,1,1,1,2,3,4,5,5,6,8,9,11,11,12,12,12,13,13,14,14,16,17,18,18,18,18,19,19,22,23,24,26,26,26,26,27,29,30,31,33,34,36,36,36,38,39,41,42,43,44,44,45,47,48,50,50,52,53,54,55
